RESUMEN DE CONTADORES
persona,automovil,señal_alto
0,11,0

DETALLE DE DETECCIONES
clase,confianza,bbox
automovil,0.8100350499153137,"[114, 426, 205, 509]"
automovil,0.8100194334983826,"[247, 480, 365, 572]"
automovil,0.7739730477333069,"[563, 346, 633, 402]"
automovil,0.7562386393547058,"[747, 399, 832, 468]"
automovil,0.7361969351768494,"[1, 544, 137, 669]"
automovil,0.6433702111244202,"[688, 321, 757, 388]"
automovil,0.6123239994049072,"[131, 317, 199, 374]"
automovil,0.5973777770996094,"[669, 305, 716, 345]"
automovil,0.554257333278656,"[189, 370, 236, 428]"
automovil,0.5361107587814331,"[441, 243, 479, 272]"
automovil,0.5355541110038757,"[530, 220, 565, 246]"
